edad,nivel_formacion,rol_tecnologico,seniority,antiguedad_meses,modalidad_trabajo,tipo_contrato,salario_mensual,cantidad_horas_extra_mes,capacitacion_ultimo_anio,evaluacion_desempeno,cantidad_empresas_anteriores,satisfaccion_laboral,satisfaccion_ambiente,equilibrio_vida_trabajo,estancamiento_carrera,feedback_lider,desercion
35,Universitario,QA,Junior,68,Hibrido,Plazo fijo,7236770,8,Si,3,2,3,5,1,1,3,No
21,Universitario,Frontend,Junior,51,Remoto,Eventual,7545387,2,No,4,3,3,4,2,4,2,No
20,Secundaria,DevOps,Lead,10,Hibrido,Eventual,23640059,5,No,4,0,4,4,2,4,2,No
20,Universitario,Backend,Trainee,9,Presencial,Plazo fijo,2858056,16,Si,4,3,5,4,2,4,1,No
27,Posgrado,Fullstack,Semi-Senior,11,Hibrido,Plazo fijo,6867751,7,No,5,1,5,4,3,4,4,No
24,Universitario,Fullstack,Junior,12,Presencial,Plazo fijo,7083654,11,No,4,3,3,4,5,2,2,No
23,Universitario,DevOps,Semi-Senior,18,Hibrido,Indefinido,10746950,28,No,4,0,2,4,1,4,1,No
27,Universitario,Frontend,Trainee,6,Hibrido,Indefinido,3494379,2,Si,3,4,5,4,4,3,4,No
22,Posgrado,DevOps,Semi-Senior,77,Hibrido,Indefinido,11191804,0,No,2,4,4,3,4,3,4,No
28,Posgrado,Frontend,Junior,1,Hibrido,Eventual,4889939,0,No,4,1,4,2,3,4,3,No
30,Universitario,DevOps,Semi-Senior,3,Hibrido,Indefinido,11637634,2,No,3,0,4,4,3,5,3,Si
28,Universitario,QA,Senior,18,Hibrido,Indefinido,13992379,9,Si,3,0,1,3,3,3,3,No
21,Universitario,Mobile,Lead,38,Hibrido,Eventual,20258382,5,Si,3,1,4,2,2,3,2,No
31,Posgrado,Frontend,Semi-Senior,89,Hibrido,Indefinido,8657338,2,No,3,8,4,3,4,4,4,No
27,Universitario,Backend,Trainee,13,Hibrido,Indefinido,3531091,37,No,3,1,3,4,1,2,3,Si
31,Universitario,Fullstack,Junior,42,Remoto,Indefinido,4913620,0,No,4,3,2,5,2,4,2,Si
31,Secundaria,Frontend,Junior,22,Remoto,Indefinido,4832516,42,No,3,1,2,2,2,3,3,No
25,Universitario,Mobile,Semi-Senior,4,Hibrido,Plazo fijo,12329376,34,Si,5,1,3,3,1,3,4,Si
30,Universitario,Frontend,Senior,47,Hibrido,Indefinido,13133262,1,No,4,2,3,2,4,4,4,No
23,Posgrado,Fullstack,Semi-Senior,2,Remoto,Eventual,10969671,2,No,4,1,2,2,3,4,5,Si
