edad,nivel_formacion,rol_tecnologico,seniority,antiguedad_meses,modalidad_trabajo,tipo_contrato,salario_mensual,cantidad_horas_extra_mes,capacitacion_ultimo_anio,evaluacion_desempeno,cantidad_empresas_anteriores,satisfaccion_laboral,satisfaccion_ambiente,equilibrio_vida_trabajo,estancamiento_carrera,feedback_lider,desercion
20,Universitario,Backend,Junior,12,Presencial,Indefinido,5036394,40,Si,3,0,4,2,1,4,5,No
24,Tecnico,Frontend,Junior,1,Presencial,Plazo fijo,3638295,0,No,2,1,3,5,2,4,1,Si
24,Universitario,Frontend,Senior,3,Hibrido,Plazo fijo,15359863,3,No,3,2,5,3,4,5,2,No
30,Tecnico,Frontend,Lead,2,Hibrido,Eventual,16194928,14,No,2,1,3,4,2,3,3,Si
20,Posgrado,Backend,Senior,8,Hibrido,Plazo fijo,13930028,15,No,3,3,4,1,3,5,3,Si
24,Secundaria,Backend,Junior,1,Hibrido,Indefinido,4504208,6,No,3,1,3,4,2,4,2,Si
25,Universitario,Backend,Senior,5,Presencial,Plazo fijo,10110895,3,No,4,1,3,1,3,3,4,No
25,Universitario,Frontend,Junior,19,Hibrido,Eventual,4143354,3,No,2,6,3,2,4,5,2,Si
26,Secundaria,Backend,Junior,10,Presencial,Indefinido,5321205,17,No,2,2,1,3,1,4,1,No
21,Tecnico,Data,Lead,27,Presencial,Plazo fijo,13843517,6,Si,4,2,4,2,3,3,4,Si
22,Secundaria,Fullstack,Lead,11,Hibrido,Plazo fijo,19546339,5,No,2,3,2,2,2,4,3,Si
25,Universitario,Frontend,Junior,33,Presencial,Plazo fijo,5705114,21,No,3,0,4,1,2,4,1,Si
36,Universitario,Frontend,Semi-Senior,4,Hibrido,Plazo fijo,8893540,15,Si,2,2,1,3,2,3,4,No
25,Universitario,Fullstack,Junior,12,Presencial,Indefinido,5908283,6,Si,2,1,3,3,3,3,2,No
20,Universitario,Mobile,Trainee,36,Remoto,Plazo fijo,3224594,1,No,4,2,4,2,3,4,2,No
23,Posgrado,Backend,Senior,11,Presencial,Indefinido,12104363,1,Si,5,2,3,1,2,3,1,No
29,Tecnico,Backend,Senior,27,Hibrido,Eventual,9792523,0,Si,3,2,4,2,4,4,4,No
31,Universitario,DevOps,Junior,1,Hibrido,Plazo fijo,4885543,13,No,3,2,2,3,2,3,1,Si
26,Posgrado,Backend,Junior,1,Presencial,Plazo fijo,6100547,0,No,3,4,4,3,3,4,3,No
30,Tecnico,Fullstack,Semi-Senior,1,Presencial,Eventual,6396188,1,No,3,0,3,3,2,2,4,No
21,Secundaria,Fullstack,Lead,9,Presencial,Indefinido,13502522,4,Si,3,2,1,4,1,2,3,No
20,Universitario,Backend,Junior,4,Presencial,Plazo fijo,6120807,5,No,4,2,2,3,2,5,2,No
29,Tecnico,Backend,Trainee,12,Presencial,Plazo fijo,2660922,12,Si,3,1,3,4,4,5,2,No
24,Posgrado,Frontend,Junior,6,Presencial,Indefinido,5385013,45,No,4,3,2,2,1,3,3,Si
24,Universitario,Backend,Trainee,10,Remoto,Eventual,2859422,8,No,3,2,2,2,2,4,2,Si
25,Universitario,Backend,Semi-Senior,36,Presencial,Indefinido,8906637,6,No,3,2,2,3,3,2,3,No
23,Universitario,Backend,Semi-Senior,7,Hibrido,Plazo fijo,8709120,2,Si,3,2,4,3,3,4,2,No
21,Universitario,Mobile,Trainee,14,Hibrido,Eventual,3528724,7,No,3,1,3,3,3,4,2,No
24,Universitario,Mobile,Trainee,2,Remoto,Indefinido,2925716,3,Si,1,2,4,3,3,3,2,No
27,Universitario,Frontend,Lead,27,Presencial,Plazo fijo,21940642,41,No,4,2,1,1,3,3,3,No
25,Universitario,Mobile,Trainee,42,Presencial,Plazo fijo,3370198,0,No,5,2,4,2,3,4,4,No
20,Universitario,Backend,Senior,4,Hibrido,Plazo fijo,12140975,0,No,3,0,3,4,3,2,1,Si
27,Universitario,Backend,Lead,3,Hibrido,Indefinido,19414523,5,No,3,1,3,2,1,4,2,Si
28,Universitario,Fullstack,Trainee,13,Presencial,Plazo fijo,2648758,10,No,3,1,2,2,1,4,3,No
29,Posgrado,Backend,Trainee,19,Hibrido,Plazo fijo,2465223,29,No,3,4,3,2,1,3,2,No
29,Universitario,Mobile,Junior,3,Presencial,Indefinido,4241977,45,Si,3,3,3,2,1,4,3,No
36,Tecnico,Frontend,Junior,4,Presencial,Indefinido,4024730,16,Si,3,1,4,3,1,2,4,No
20,Universitario,Fullstack,Junior,3,Presencial,Plazo fijo,4517078,2,No,3,1,3,2,3,5,1,No
24,Tecnico,Backend,Junior,16,Remoto,Indefinido,4517584,1,Si,3,5,5,3,2,3,3,No
31,Secundaria,Mobile,Senior,11,Presencial,Eventual,10163812,14,No,3,3,3,3,2,5,4,Si
25,Universitario,Mobile,Junior,44,Hibrido,Indefinido,4974794,2,Si,4,1,3,3,3,4,3,No
20,Tecnico,Mobile,Junior,20,Presencial,Plazo fijo,3876196,2,Si,3,1,4,2,4,2,3,No
28,Universitario,Mobile,Junior,4,Remoto,Eventual,5594913,45,No,2,1,3,3,1,3,4,No
32,Posgrado,Frontend,Junior,8,Hibrido,Indefinido,6203389,11,No,3,4,2,2,1,3,3,Si
20,Universitario,Backend,Senior,10,Hibrido,Plazo fijo,9301118,45,No,4,7,2,2,1,5,3,Si
22,Universitario,Backend,Senior,5,Hibrido,Eventual,10359358,0,No,2,3,1,2,3,5,4,Si
22,Universitario,Backend,Trainee,2,Hibrido,Eventual,3029986,4,No,4,3,4,4,2,3,2,No
20,Universitario,Mobile,Junior,18,Hibrido,Eventual,3792790,32,No,2,1,5,2,1,5,2,No
25,Posgrado,DevOps,Junior,6,Presencial,Indefinido,3957006,16,No,4,3,2,2,3,3,1,Si
31,Universitario,Backend,Junior,35,Presencial,Plazo fijo,3901694,15,No,3,0,1,3,2,4,2,Si
25,Universitario,QA,Trainee,5,Hibrido,Indefinido,3924301,2,No,3,1,4,3,1,5,4,Si
31,Universitario,Mobile,Semi-Senior,1,Presencial,Indefinido,6737795,16,No,4,2,4,2,1,5,2,Si
26,Universitario,Fullstack,Junior,15,Hibrido,Indefinido,4353555,45,Si,3,4,1,2,1,2,3,Si
25,Universitario,Frontend,Semi-Senior,2,Presencial,Plazo fijo,5786946,30,No,2,1,4,2,1,5,2,Si
28,Posgrado,Fullstack,Senior,2,Hibrido,Eventual,11417367,9,No,4,4,3,2,2,5,2,Si
24,Posgrado,Frontend,Trainee,26,Presencial,Indefinido,3526865,5,Si,3,4,3,3,3,1,3,No
20,Universitario,QA,Junior,39,Presencial,Plazo fijo,4807206,18,No,3,0,2,2,3,5,3,No
30,Tecnico,Backend,Junior,32,Presencial,Plazo fijo,6262236,23,No,2,1,4,1,1,4,1,Si
36,Posgrado,Backend,Trainee,2,Hibrido,Plazo fijo,2798986,31,No,4,2,3,2,1,5,3,Si
37,Universitario,Fullstack,Junior,20,Hibrido,Indefinido,5563874,29,No,3,1,3,3,1,4,4,No
43,Posgrado,DevOps,Trainee,11,Hibrido,Indefinido,3596486,0,No,3,3,2,3,4,4,3,Si
24,Universitario,Fullstack,Semi-Senior,32,Presencial,Plazo fijo,9310279,19,Si,3,3,4,3,2,3,2,No
29,Posgrado,Backend,Junior,33,Presencial,Plazo fijo,5317957,5,No,3,2,2,3,1,2,3,No
21,Universitario,Mobile,Semi-Senior,7,Presencial,Plazo fijo,9651893,0,No,3,1,3,4,3,3,3,Si
23,Universitario,Backend,Junior,3,Presencial,Plazo fijo,6377644,36,No,4,2,3,2,1,4,2,No
